Transplant Year,Organ,Age Group,N,Graft Survival Rate [95% CI],Patient Survival Rate [95% CI]
1988,Heart/Lung,1-5 Years,1,*,*
1988,Heart/Lung,11-17 Years,6,*,*
1988,Heart/Lung,18-34,31,*,*
1988,Heart/Lung,35-49,26,*,*
1988,Heart/Lung,50-64,6,*,*
1988,Heart/Lung,6-10 Years,3,*,*
1988,Heart,<1 Year,34,*,*
1988,Heart,1-5 Years,19,*,*
1988,Heart,11-17 Years,41,*,*
1988,Heart,18-34,182,"29.68 [22.75, 36.91]","37.97 [30.24, 45.65]"
1988,Heart,35-49,478,"16.68 [13.18, 20.55]","18.36 [14.80, 22.23]"
1988,Heart,50-64,836,"11.30 [9.03, 13.86]","10.77 [8.68, 13.12]"
1988,Heart,6-10 Years,18,*,*
1988,Heart,65+,24,*,*
1989,Heart/Lung,<1 Year,1,*,*
1989,Heart/Lung,1-5 Years,1,*,*
1989,Heart/Lung,11-17 Years,2,*,*
1989,Heart/Lung,18-34,29,*,*
1989,Heart/Lung,35-49,27,*,*
1989,Heart/Lung,50-64,4,*,*
1989,Heart/Lung,6-10 Years,3,*,*
1989,Heart,<1 Year,71,"28.95 [18.32, 40.43]","38.72 [26.32, 50.94]"
1989,Heart,1-5 Years,22,*,*
1989,Heart,11-17 Years,40,*,*
1989,Heart,18-34,172,"31.09 [23.65, 38.79]","32.93 [25.54, 40.50]"
1989,Heart,35-49,491,"21.66 [17.74, 25.84]","23.07 [19.23, 27.13]"
1989,Heart,50-64,805,"13.20 [10.74, 15.91]","11.68 [9.50, 14.11]"
1989,Heart,6-10 Years,16,*,*
1989,Heart,65+,41,*,*
1990,Heart/Lung,1-5 Years,3,*,*
1990,Heart/Lung,11-17 Years,2,*,*
1990,Heart/Lung,18-34,24,*,*
1990,Heart/Lung,35-49,19,*,*
1990,Heart/Lung,50-64,3,*,*
1990,Heart,<1 Year,86,"34.27 [23.92, 44.85]","41.96 [30.41, 53.06]"
1990,Heart,1-5 Years,50,"23.85 [12.96, 36.59]","44.26 [29.48, 58.04]"
1990,Heart,11-17 Years,58,*,*
1990,Heart,18-34,167,"20.93 [14.60, 28.04]","24.91 [18.10, 32.29]"
1990,Heart,35-49,570,"20.75 [17.16, 24.58]","21.98 [18.49, 25.66]"
1990,Heart,50-64,1022,"12.04 [9.88, 14.43]","11.59 [9.63, 13.74]"
1990,Heart,6-10 Years,22,*,*
1990,Heart,65+,70,*,*
1991,Heart/Lung,1-5 Years,2,*,*
1991,Heart/Lung,11-17 Years,6,*,*
1991,Heart/Lung,18-34,16,*,*
1991,Heart/Lung,35-49,18,*,*
1991,Heart/Lung,50-64,6,*,*
1991,Heart/Lung,6-10 Years,2,*,*
1991,Heart,<1 Year,123,"27.38 [19.21, 36.16]","35.53 [26.30, 44.85]"
1991,Heart,1-5 Years,52,"25.48 [14.22, 38.35]","38.59 [23.31, 53.66]"
1991,Heart,11-17 Years,59,*,*
1991,Heart,18-34,165,"23.20 [16.24, 30.90]","29.64 [21.87, 37.80]"
1991,Heart,35-49,533,"22.27 [18.49, 26.28]","22.91 [19.21, 26.82]"
1991,Heart,50-64,1033,"12.89 [10.73, 15.25]","12.69 [10.67, 14.89]"
1991,Heart,6-10 Years,20,*,*
1991,Heart,65+,73,*,*
1992,Heart/Lung,<1 Year,1,*,*
1992,Heart/Lung,1-5 Years,3,*,*
1992,Heart/Lung,11-17 Years,5,*,*
1992,Heart/Lung,18-34,18,*,*
1992,Heart/Lung,35-49,18,*,*
1992,Heart/Lung,50-64,2,*,*
1992,Heart/Lung,6-10 Years,1,*,*
1992,Heart,<1 Year,88,"35.66 [25.34, 46.08]","50.23 [38.49, 60.86]"
1992,Heart,1-5 Years,59,"22.65 [12.90, 34.05]","38.83 [23.88, 53.53]"
1992,Heart,11-17 Years,56,"27.33 [16.16, 39.73]","45.20 [30.06, 59.18]"
1992,Heart,18-34,164,"29.45 [22.34, 36.90]","34.77 [27.02, 42.62]"
1992,Heart,35-49,503,"21.64 [17.80, 25.72]","22.46 [18.70, 26.45]"
1992,Heart,50-64,1118,"13.64 [11.49, 15.97]","12.92 [10.97, 15.04]"
1992,Heart,6-10 Years,23,*,*
1992,Heart,65+,85,*,*
1992,Heart,Not Reported,1,*,*
1993,Heart/Lung,1-5 Years,7,*,*
1993,Heart/Lung,11-17 Years,7,*,*
1993,Heart/Lung,18-34,25,*,*
1993,Heart/Lung,35-49,13,*,*
1993,Heart/Lung,50-64,8,*,*
1993,Heart,<1 Year,106,"35.41 [26.15, 44.78]","42.02 [31.88, 51.81]"
1993,Heart,1-5 Years,51,"22.20 [11.93, 34.47]","43.54 [26.99, 58.99]"
1993,Heart,11-17 Years,73,"22.48 [13.30, 33.14]","28.62 [17.89, 40.27]"
1993,Heart,18-34,188,"25.69 [19.09, 32.78]","29.47 [22.32, 36.96]"
1993,Heart,35-49,516,"23.89 [19.89, 28.10]","24.78 [20.92, 28.82]"
1993,Heart,50-64,1140,"14.62 [12.37, 17.05]","13.90 [11.91, 16.06]"
1993,Heart,6-10 Years,31,*,*
1993,Heart,65+,103,*,*
1994,Heart/Lung,1-5 Years,5,*,*
1994,Heart/Lung,11-17 Years,7,*,*
1994,Heart/Lung,18-34,22,*,*
1994,Heart/Lung,35-49,28,*,*
1994,Heart/Lung,50-64,6,*,*
1994,Heart/Lung,6-10 Years,3,*,*
1994,Heart,<1 Year,86,"41.50 [30.77, 51.89]","49.15 [37.86, 59.48]"
1994,Heart,1-5 Years,61,*,*
1994,Heart,11-17 Years,68,"24.82 [13.73, 37.61]","28.15 [16.81, 40.61]"
1994,Heart,18-34,172,"23.19 [16.53, 30.51]","28.51 [21.27, 36.15]"
1994,Heart,35-49,521,"23.61 [19.72, 27.70]","24.69 [20.82, 28.74]"
1994,Heart,50-64,1229,"14.53 [12.39, 16.84]","13.36 [11.45, 15.41]"
1994,Heart,6-10 Years,36,*,*
1994,Heart,65+,94,*,*
1994,Heart,Not Reported,2,*,*
1995,Heart/Lung,<1 Year,2,*,*
1995,Heart/Lung,1-5 Years,1,*,*
1995,Heart/Lung,11-17 Years,7,*,*
1995,Heart/Lung,18-34,20,*,*
1995,Heart/Lung,35-49,29,*,*
1995,Heart/Lung,50-64,7,*,*
1995,Heart/Lung,6-10 Years,2,*,*
1995,Heart,<1 Year,88,"48.69 [37.72, 58.79]","58.41 [47.00, 68.19]"
1995,Heart,1-5 Years,56,"26.23 [14.73, 39.26]","39.01 [23.67, 54.06]"
1995,Heart,11-17 Years,74,"22.60 [13.35, 33.35]","27.52 [16.93, 39.16]"
1995,Heart,18-34,164,"27.50 [20.27, 35.19]","36.91 [28.55, 45.27]"
1995,Heart,35-49,509,"27.41 [23.17, 31.81]","26.14 [22.22, 30.23]"
1995,Heart,50-64,1217,"15.44 [13.24, 17.79]","14.55 [12.57, 16.66]"
1995,Heart,6-10 Years,34,*,*
1995,Heart,65+,138,*,*
1995,Heart,Not Reported,2,*,*
1996,Heart/Lung,1-5 Years,5,*,*
1996,Heart/Lung,11-17 Years,4,*,*
1996,Heart/Lung,18-34,11,*,*
1996,Heart/Lung,35-49,14,*,*
1996,Heart/Lung,50-64,2,*,*
1996,Heart/Lung,6-10 Years,1,*,*
1996,Heart,<1 Year,74,"44.29 [32.58, 55.35]","57.25 [44.33, 68.21]"
1996,Heart,1-5 Years,52,"24.65 [13.76, 37.20]","38.56 [24.16, 52.76]"
1996,Heart,11-17 Years,92,"31.39 [20.82, 42.50]","30.58 [20.35, 41.41]"
1996,Heart,18-34,171,"26.69 [19.78, 34.07]","32.34 [24.75, 40.15]"
1996,Heart,35-49,490,"27.87 [23.63, 32.25]","28.51 [24.33, 32.81]"
1996,Heart,50-64,1188,"17.29 [14.93, 19.79]","14.80 [12.79, 16.94]"
1996,Heart,6-10 Years,33,*,*
1996,Heart,65+,160,*,*
1997,Heart/Lung,1-5 Years,3,*,*
1997,Heart/Lung,18-34,21,*,*
1997,Heart/Lung,35-49,27,*,*
1997,Heart/Lung,50-64,9,*,*
1997,Heart/Lung,6-10 Years,2,*,*
1997,Heart,<1 Year,92,"47.28 [36.56, 57.24]","62.34 [51.16, 71.66]"
1997,Heart,1-5 Years,61,"26.70 [15.89, 38.75]","49.76 [33.56, 64.00]"
1997,Heart,11-17 Years,78,"31.22 [20.75, 42.24]","35.60 [24.18, 47.17]"
1997,Heart,18-34,171,"27.60 [20.51, 35.12]","31.65 [24.11, 39.45]"
1997,Heart,35-49,445,"30.33 [25.73, 35.04]","30.81 [26.30, 35.42]"
1997,Heart,50-64,1139,"18.28 [15.88, 20.81]","18.49 [16.22, 20.89]"
1997,Heart,6-10 Years,29,*,*
1997,Heart,65+,191,"8.53 [4.82, 13.56]","8.11 [4.75, 12.59]"
1997,Heart,Not Reported,1,*,*
1998,Heart/Lung,<1 Year,4,*,*
1998,Heart/Lung,1-5 Years,2,*,*
1998,Heart/Lung,11-17 Years,1,*,*
1998,Heart/Lung,18-34,12,*,*
1998,Heart/Lung,35-49,18,*,*
1998,Heart/Lung,50-64,7,*,*
1998,Heart,<1 Year,80,"43.91 [32.19, 55.02]","55.17 [42.53, 66.13]"
1998,Heart,1-5 Years,53,"35.53 [22.22, 49.07]","49.51 [33.99, 63.25]"
1998,Heart,11-17 Years,83,"32.43 [22.35, 42.90]","39.22 [27.91, 50.34]"
1998,Heart,18-34,156,"29.88 [22.40, 37.70]","35.69 [27.33, 44.11]"
1998,Heart,35-49,450,"28.36 [23.79, 33.09]","27.32 [22.97, 31.84]"
1998,Heart,50-64,1175,"19.17 [16.73, 21.75]","18.34 [16.09, 20.71]"
1998,Heart,6-10 Years,33,*,*
1998,Heart,65+,199,"8.18 [4.41, 13.41]","7.17 [4.03, 11.51]"
1998,Heart,Not Reported,1,*,*
1999,Heart/Lung,<1 Year,1,*,*
1999,Heart/Lung,1-5 Years,4,*,*
1999,Heart/Lung,11-17 Years,2,*,*
1999,Heart/Lung,18-34,11,*,*
1999,Heart/Lung,35-49,17,*,*
1999,Heart/Lung,50-64,11,*,*
1999,Heart/Lung,6-10 Years,2,*,*
1999,Heart,<1 Year,58,"43.70 [30.32, 56.32]","55.12 [40.20, 67.76]"
1999,Heart,1-5 Years,64,"35.53 [23.81, 47.42]","47.09 [33.93, 59.18]"
1999,Heart,11-17 Years,84,"21.87 [13.57, 31.45]","29.66 [19.32, 40.72]"
1999,Heart,18-34,166,"27.62 [20.47, 35.21]","31.72 [24.26, 39.43]"
1999,Heart,35-49,411,"30.66 [25.87, 35.56]","31.08 [26.34, 35.93]"
1999,Heart,50-64,1068,"20.06 [17.44, 22.81]","18.42 [16.04, 20.94]"
1999,Heart,6-10 Years,29,*,*
1999,Heart,65+,204,"11.67 [7.20, 17.32]","10.01 [6.23, 14.82]"
1999,Heart,Not Reported,1,*,*
2000,Heart/Lung,<1 Year,1,*,*
2000,Heart/Lung,1-5 Years,1,*,*
2000,Heart/Lung,11-17 Years,4,*,*
2000,Heart/Lung,18-34,13,*,*
2000,Heart/Lung,35-49,16,*,*
2000,Heart/Lung,50-64,9,*,*
2000,Heart/Lung,6-10 Years,2,*,*
2000,Heart,<1 Year,72,"41.11 [29.22, 52.60]","51.43 [38.38, 63.01]"
2000,Heart,1-5 Years,53,"48.28 [33.97, 61.20]","62.14 [46.61, 74.33]"
2000,Heart,11-17 Years,86,"26.67 [17.21, 37.07]","34.47 [23.12, 46.09]"
2000,Heart,18-34,154,"22.55 [15.55, 30.36]","28.36 [20.43, 36.79]"
2000,Heart,35-49,402,"32.16 [27.08, 37.34]","31.61 [26.72, 36.60]"
2000,Heart,50-64,1087,"20.34 [17.81, 23.01]","18.38 [16.06, 20.82]"
2000,Heart,6-10 Years,38,*,*
2000,Heart,65+,208,"9.32 [5.33, 14.64]","8.24 [4.78, 12.87]"
2001,Heart/Lung,1-5 Years,1,*,*
2001,Heart/Lung,11-17 Years,4,*,*
2001,Heart/Lung,18-34,5,*,*
2001,Heart/Lung,35-49,13,*,*
2001,Heart/Lung,50-64,3,*,*
2001,Heart/Lung,6-10 Years,1,*,*
2001,Heart,<1 Year,64,"52.42 [39.11, 64.13]","60.47 [46.89, 71.59]"
2001,Heart,1-5 Years,81,"39.50 [28.47, 50.33]","57.02 [44.40, 67.79]"
2001,Heart,11-17 Years,84,"24.01 [14.80, 34.46]","30.69 [20.18, 41.81]"
2001,Heart,18-34,178,"34.35 [26.93, 41.89]","40.12 [32.12, 47.97]"
2001,Heart,35-49,441,"32.21 [27.52, 36.99]","30.80 [26.27, 35.43]"
2001,Heart,50-64,1030,"23.49 [20.70, 26.38]","20.89 [18.37, 23.52]"
2001,Heart,6-10 Years,25,*,*
2001,Heart,65+,204,"9.30 [5.35, 14.57]","7.16 [4.05, 11.46]"
2002,Heart/Lung,<1 Year,1,*,*
2002,Heart/Lung,11-17 Years,5,*,*
2002,Heart/Lung,18-34,9,*,*
2002,Heart/Lung,35-49,8,*,*
2002,Heart/Lung,50-64,9,*,*
2002,Heart,<1 Year,70,"50.50 [37.94, 61.77]","64.07 [50.43, 74.86]"
2002,Heart,1-5 Years,74,*,*
2002,Heart,11-17 Years,88,"25.17 [16.18, 35.18]","36.19 [24.92, 47.55]"
2002,Heart,18-34,186,"27.88 [21.01, 35.15]","32.24 [24.63, 40.08]"
2002,Heart,35-49,384,"35.52 [30.38, 40.69]","35.03 [29.95, 40.15]"
2002,Heart,50-64,994,"23.22 [20.36, 26.19]","21.12 [18.47, 23.91]"
2002,Heart,6-10 Years,36,*,*
2002,Heart,65+,214,*,*
Overall,Heart/Lung,<1 Year,11,*,*
Overall,Heart/Lung,1-5 Years,39,*,*
Overall,Heart/Lung,11-17 Years,62,*,*
Overall,Heart/Lung,18-34,267,"16.34 [11.91, 21.38]","16.19 [11.86, 21.12]"
Overall,Heart/Lung,35-49,291,"15.22 [11.18, 19.83]","14.96 [11.09, 19.38]"
Overall,Heart/Lung,50-64,92,*,*
Overall,Heart/Lung,6-10 Years,22,*,*
Overall,Heart,<1 Year,1192,"39.91 [37.00, 42.80]","50.20 [47.11, 53.21]"
Overall,Heart,1-5 Years,808,"30.45 [27.18, 33.78]","46.01 [42.05, 49.88]"
Overall,Heart,11-17 Years,1064,"24.94 [22.19, 27.78]","31.59 [28.46, 34.76]"
Overall,Heart,18-34,2556,"27.29 [25.41, 29.19]","32.49 [30.47, 34.52]"
Overall,Heart,35-49,7144,"25.90 [24.78, 27.02]","26.22 [25.14, 27.32]"
Overall,Heart,50-64,16081,"16.73 [16.09, 17.38]","15.54 [14.96, 16.13]"
Overall,Heart,6-10 Years,423,"23.08 [18.85, 27.57]","28.27 [23.48, 33.23]"
Overall,Heart,65+,2008,"8.61 [7.25, 10.11]","7.44 [6.30, 8.70]"
Overall,Heart,Not Reported,8,*,*
